Thu,Ngay,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Holiday,Week number
6,01/14/11,1322.8,1275.2,1260.34,1262.4,1281.2,1359,1510.1,1944.22,2131.1,2211.9,2222.9,1989,2098.1,2236,2243.5,2246.1,2172.6,2126.2,2118.6,2234.5,1977.2,1861.8,1677.6,1476.5,0,2
7,01/15/11,1351.71,1297.18,1260.55,1246.56,1256.6,1321.29,1507.78,1921.6,2069.87,2132.74,2145.06,1898.78,1962.58,2077.37,2079.28,2052.94,1915.84,1937.47,1926.54,1900.26,1887.31,1796.3,1604.9,1444.01,0,2
CN,01/16/11,1311.79,1233.97,1191.57,1163.95,1160.1,1169.07,1245.09,1448.34,1558.04,1670.3,1698.64,1569.89,1571.94,1600.59,1617.32,1626.37,1587.4,1704.2,1709.45,1682.46,1636.2,1579.5,1404.9,1247.76,0,2
2,01/17/11,1119.07,1058.36,1044.26,1034.48,1075,1164.39,1360.52,1804.66,1953.04,2069.7,2104.1,1881.82,1976.57,2150.27,2176.32,2173.4,2034.84,2058.05,2044.21,1995.6,1907.3,1757.2,1542,1353.7,0,3
3,01/18/11,1266,1188.8,1180.9,1179.5,1186.9,1284.5,1446.5,1871,2023.8,2105.3,2097.6,1878.2,1959,2108.28,2146.63,2146.39,2023.85,2051,2038.26,1955.08,1880.58,1706,1459.7,1301.61,0,3
4,01/19/11,1237.3,1187.7,1166.5,1154.2,1182.2,1270.5,1460.5,1897.7,2067.9,2142.9,2133.7,1919.5,2008,2142.8,2184.5,2196,2073.2,2055.5,2037.9,1987.1,1941.7,1797.1,1562.3,1411.9,0,3
5,01/20/11,1206.16,1203.25,1195.09,1187.41,1203,1296.16,1448.56,1885.1,2028.36,2126.01,2137.98,1907.7,2012.8,2148.1,2226.4,2236.3,2119.1,2095.1,2096,2029.7,1960.2,1815.4,1607.4,1449.9,0,3
6,01/21/11,1299.4,1237.7,1223.8,1226.3,1250.5,1329.2,1505.7,1941.4,2077,2144.8,2137.2,1929.5,2011.6,2191.98,2153.77,2238.48,2123.88,2090.64,2099.4,2031.6,1995.14,1860.6,1681.3,1437.9,0,3
7,01/22/11,1355.4,1286.22,1264.75,1230.1,1238,1300.86,1456.43,1853.94,1985.1,2106.63,2101.4,1853.6,1950.6,2069.2,2084.4,2090.9,1925.5,1918.1,1946.7,1927,1922.5,1841.4,1694.2,1448.9,0,3
CN,01/23/11,1347.7,1287.7,1252.2,1237.9,1231.7,1242.6,1311.4,1506.7,1586.7,1611,1633.3,1498.2,1504.58,1530.7,1588.16,1604.4,1584.1,1627.8,1712.94,1701.7,1703.29,1588.9,1437.5,1256.9,0,3
